日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA30,MA60
2021-08-19,6.15,7.59,7.59,6.15,4165,5013379.0,29.09,53.33,2.64,0.83,,,,
2021-08-20,8.45,8.45,8.45,8.45,2043,2713051.0,0.0,11.33,0.86,0.41,,,,
2021-08-23,9.4,9.4,9.4,9.4,1103,1611673.0,0.0,11.24,0.95,0.22,,,,
2021-08-24,10.44,10.44,10.44,10.44,2013,3235245.0,0.0,11.06,1.04,0.4,,,,
2021-08-25,11.59,11.59,11.59,11.59,2559,4524595.0,0.0,11.02,1.15,0.51,9.494,,,
2021-08-26,12.86,12.86,12.86,12.86,4844,9421269.0,0.0,10.96,1.27,0.97,10.547999999999998,,,
2021-08-27,14.25,13.14,14.25,11.54,352312,693002368.0,21.07,2.18,0.28,70.46,11.486,,,
2021-08-30,11.73,11.83,12.22,11.73,230935,415598816.0,3.73,-9.97,-1.31,46.19,11.972,,,
2021-08-31,11.58,11.89,11.98,11.26,171675,306777904.0,6.09,0.51,0.06,34.34,12.262,,,
2021-09-01,11.71,10.61,11.71,10.6,167222,281385520.0,9.34,-10.77,-1.28,33.44,12.065999999999999,10.78,,
2021-09-02,10.29,10.66,11.07,9.96,127856,207788147.0,10.46,0.47,0.05,25.57,11.626000000000001,11.087,,
2021-09-03,10.31,10.95,11.29,10.26,135076,225666110.0,9.66,2.72,0.29,27.02,11.187999999999999,11.337,,
2021-09-06,10.81,12.15,12.15,10.81,198792,361697728.0,12.24,10.96,1.2,39.76,11.252,11.612,,
2021-09-07,12.27,11.84,13.01,11.58,257492,476398976.0,11.77,-2.55,-0.31,51.5,11.242,11.752,,
2021-09-08,11.57,12.51,12.89,11.57,221577,415084080.0,11.15,5.66,0.67,44.32,11.622,11.844,,
2021-09-09,12.05,11.64,12.31,11.25,169933,304007632.0,8.47,-6.95,-0.87,33.99,11.818,11.722,,
2021-09-10,11.56,11.34,11.99,11.17,103423,182148368.0,7.04,-2.58,-0.3,20.68,11.896,11.542,,
2021-09-13,11.25,10.79,11.34,10.76,92945,155296695.0,5.11,-4.85,-0.55,18.59,11.623999999999999,11.437999999999999,,
2021-09-14,10.86,11.08,11.11,10.52,86545,143334007.0,5.47,2.69,0.29,17.31,11.472,11.357,,
2021-09-15,10.91,10.76,11.39,10.75,82249,138144793.0,5.78,-2.89,-0.32,16.45,11.122,11.372,,
2021-09-16,10.61,10.29,10.75,10.27,70437,113495650.0,4.46,-4.37,-0.47,14.09,10.852,11.335,,
